image_path,class,network_score
datasets/images/inant_0000.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0001.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0002.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0003.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0004.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0005.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0006.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0007.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0008.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0009.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0010.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0011.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0012.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0013.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0014.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0015.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0016.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0017.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0018.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0019.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0020.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0021.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0022.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0023.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0024.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0025.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0026.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0027.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0028.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0029.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0030.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0031.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0032.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0033.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0034.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0035.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0036.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0037.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0038.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0039.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0040.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0041.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0042.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0043.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0044.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0045.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0046.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0047.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0048.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0049.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0050.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0051.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0052.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0053.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0054.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0055.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0056.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0057.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0058.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0059.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0060.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0061.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0062.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0063.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0064.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0065.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0066.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0067.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0068.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0069.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0070.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0071.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0072.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0073.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0074.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0075.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0076.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0077.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0078.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0079.jpg,fungal_fruiting_body,0.7
datasets/images/inant_0080.jpg,fungal_fruiting_body,0.7
